steps,guidance,clip_score,aesthetic_score,aes_v2_score,hps_v2_score,elapsed_ms,seed
7,5.03,0.2842710018157959,6.160242557525635,6.43140983581543,0.1651611328125,317,341252986
7,5.25,0.2547112703323364,5.896800994873047,5.949947357177734,0.1749267578125,370,918195284
7,5.29,0.2962172031402588,5.822797775268555,5.930839538574219,0.1837158203125,349,1884038824
7,5.31,0.26913291215896606,5.340934753417969,5.332395553588867,0.15185546875,317,249665003
7,5.92,0.27886295318603516,4.995855331420898,5.056825637817383,0.1400146484375,342,803265087
7,6.03,0.29447245597839355,4.799788475036621,4.893397331237793,0.1343994140625,376,1008836503
7,6.14,0.2569120526313782,5.500590801239014,5.510098457336426,0.1636962890625,367,1281564581
7,6.22,0.26766297221183777,6.5834455490112305,6.586530685424805,0.18359375,370,1691936822
7,6.44,0.26955026388168335,4.405556678771973,4.110935211181641,0.1619873046875,342,764175508
7,6.53,0.24952644109725952,5.465012550354004,5.633004665374756,0.171630859375,324,1228126404
7,6.75,0.27865898609161377,6.375478744506836,6.511416435241699,0.191162109375,371,47290459
7,6.77,0.25387564301490784,4.943719387054443,5.082159996032715,0.130126953125,375,536720926
7,6.8,0.2530615031719208,5.204775810241699,5.320364952087402,0.1685791015625,322,193175284
7,6.85,0.299807071685791,5.330125331878662,5.231882095336914,0.177734375,355,866843329
7,7.32,0.2574326992034912,5.9655656814575195,6.020932674407959,0.151123046875,341,1416646839
7,7.42,0.25047361850738525,3.829759120941162,3.6926217079162598,0.146240234375,318,168213568
7,8.12,0.3053475320339203,6.101987361907959,6.028573513031006,0.1878662109375,370,456983349
7,8.43,0.2999691367149353,6.542881488800049,6.778497695922852,0.16552734375,353,879734613
7,8.83,0.3051573932170868,5.611457824707031,5.957089424133301,0.177490234375,372,977710418
7,9.59,0.25814756751060486,5.373829364776611,5.575092792510986,0.195556640625,319,1304142888
7,9.65,0.2723783850669861,5.626667022705078,6.0346574783325195,0.1995849609375,321,1936030341
7,9.69,0.3232015073299408,5.72301721572876,6.080883026123047,0.1920166015625,365,1254080341
7,10.27,0.31979867815971375,4.421656608581543,4.553690433502197,0.1766357421875,371,368209723
7,10.96,0.23748542368412018,3.831009864807129,3.8423819541931152,0.14013671875,384,1695380258
7,11.51,0.26767054200172424,5.329194068908691,5.6332244873046875,0.189697265625,322,1883426126
7,11.79,0.269919216632843,5.120830535888672,5.481935501098633,0.1533203125,328,1839473348
8,0.76,0.23539865016937256,4.392058849334717,4.774593830108643,0.1456298828125,277,1756037977
8,1.05,0.21564386785030365,4.376494884490967,4.211697578430176,0.11907958984375,391,507854134
